context,question,text,original_index
"The origins of the Samoans are closely studied in modern research about Polynesia in various scientific disciplines such as genetics, linguistics and anthropology. Scientific research is ongoing, although a number of different theories exist; including one proposing that the Samoans originated from Austronesian predecessors during the terminal eastward Lapita expansion period from Southeast Asia and Melanesia between 2,500 and 1,500 BCE. The Samoan origins are currently being reassessed due to new scientific evidence and carbon dating findings from 2003 and onwards.",What year marks the end of the period of the terminal eastward Lapita expansion?,"1,500 BCE",4156
"Perhaps, his most notable letter was his Festal Letter, written to his Church in Alexandria when he was in exile, as he could not be in their presence. This letter shows clearly his stand that accepting Jesus is the Divine Son of God is not optional but necessary; ""I know moreover that not only this thing saddens you, but also the fact that while others have obtained the churches by violence, you are meanwhile cast out from your places. For they hold the places, but you the Apostolic Faith. They are, it is true, in the places, but outside of the true Faith; while you are outside the places indeed, but the Faith, within you. Let us consider whether is the greater, the place or the Faith. Clearly the true Faith. Who then has lost more, or who possesses more? He who holds the place, or he who holds the Faith?",Where did Athanasius think Faith resides?,within you,4182
"The earliest examples of visual representations in Iranian history are traced back to the bas-reliefs of Persepolis, c. 500 BC. Persepolis was the ritual center of the ancient kingdom of Achaemenids, and the figures at Persepolis remain bound by the rules of grammar and syntax of visual language. The Iranian visual arts reached a pinnacle by the Sassanid Era. A bas-relief from this period in Taq Bostan depicts a complex hunting scene. Similar works from the period have been found to articulate movements and actions in a highly sophisticated manner. It is even possible to see a progenitor of the cinema close-up in one of these works of art, which shows a wounded wild pig escaping from the hunting ground.",What were the first known examples of Iranian visual art? ,the bas-reliefs of Persepolis,4189
"The Syriac term Nasrani (Nazarene) has also been attached to the Saint Thomas Christians of Kerala, India. In the Indian subcontinent, Christians call themselves Isaai (Hindi: ईसाई, Urdu: عیسائی‎), and are also known by this term to adherents of other religions. This is related to the name they call Jesus, 'Isa Masih, and literally means 'the followers of 'Isa'.","Which word has been connected to Saint Thomas Christians of Kerala, India?",Nasrani,4279
"The United Kingdom and Ireland have separate media, although British television, newspapers and magazines are widely available in Ireland, giving people in Ireland a high level of familiarity with cultural matters in the United Kingdom. Irish newspapers are also available in the UK, and Irish state and private television is widely available in Northern Ireland.[citation needed] Certain reality TV shows have embraced the whole of the islands, for example The X Factor, seasons 3, 4 and 7 of which featured auditions in Dublin and were open to Irish voters, whilst the show previously known as Britain's Next Top Model became Britain and Ireland's Next Top Model in 2011. A few cultural events are organised for the island group as a whole. For example, the Costa Book Awards are awarded to authors resident in the UK or Ireland. The Man Booker Prize is awarded to authors from the Commonwealth of Nations and Ireland. The Mercury Music Prize is handed out every year to the best album from a British or Irish musician or group.",What is available to the people in Northern Ireland so they have access to the media?,private television,4286
"Both the Shanghai Stock Exchange and the Shenzhen Stock Exchange suspended trading of companies based in southwestern China. Copper rose over speculations that production in southwestern China may be affected, and oil prices dropped over speculations that demand from China would fall.",Where were the exchanges based?,southwestern China,4300
"Although pest insects attract the most attention, many insects are beneficial to the environment and to humans. Some insects, like wasps, bees, butterflies and ants, pollinate flowering plants. Pollination is a mutualistic relationship between plants and insects. As insects gather nectar from different plants of the same species, they also spread pollen from plants on which they have previously fed. This greatly increases plants' ability to cross-pollinate, which maintains and possibly even improves their evolutionary fitness. This ultimately affects humans since ensuring healthy crops is critical to agriculture. As well as pollination ants help with seed distribution of plants. This helps to spread the plants which increases plant diversity. This leads to an overall better environment. A serious environmental problem is the decline of populations of pollinator insects, and a number of species of insects are now cultured primarily for pollination management in order to have sufficient pollinators in the field, orchard or greenhouse at bloom time.:240–243 Another solution, as shown in Delaware, has been to raise native plants to help support native pollinators like L. vierecki. Insects also produce useful substances such as honey, wax, lacquer and silk. Honey bees have been cultured by humans for thousands of years for honey, although contracting for crop pollination is becoming more significant for beekeepers. The silkworm has greatly affected human history, as silk-driven trade established relationships between China and the rest of the world.","What do bees, wasps, butterflies, and ants do to flowers?",pollinate,4370
"Street parking in urban neighborhoods is mostly controlled by the franeleros a.k.a. ""viene vienes"" (lit. ""come on, come on""), who ask drivers for a fee to park, in theory to guard the car, but with the implicit threat that the franelero will damage the car if the fee is not paid. Double parking is common (with franeleros moving the cars as required), impeding on the available lanes for traffic to pass. In order to mitigate that and other problems and to raise revenue, 721 parking meters (as of October 2013), have been installed in the west-central neighborhoods Lomas de Chapultepec, Condesa, Roma, Polanco and Anzures, in operation from 8 AM to 8 PM on weekdays and charging a rate of 2 pesos per 15 minutes, with offenders' cars booted, costing about 500 pesos to remove. 30 percent of the monthly 16 million-peso (as of October 2013) income from the parking-meter system (named ""ecoParq"") is earmarked for neighborhood improvements. The granting of the license for all zones exclusively to a new company without experience in operating parking meters, Operadora de Estacionamientos Bicentenario, has generated controversy.",Who operates the parking meters?,Operadora de Estacionamientos Bicentenario,4414
"Groove recordings, first designed in the final quarter of the 19th century, held a predominant position for nearly a century—withstanding competition from reel-to-reel tape, the 8-track cartridge, and the compact cassette. In 1988, the compact disc surpassed the gramophone record in unit sales. Vinyl records experienced a sudden decline in popularity between 1988 and 1991, when the major label distributors restricted their return policies, which retailers had been relying on to maintain and swap out stocks of relatively unpopular titles. First the distributors began charging retailers more for new product if they returned unsold vinyl, and then they stopped providing any credit at all for returns. Retailers, fearing they would be stuck with anything they ordered, only ordered proven, popular titles that they knew would sell, and devoted more shelf space to CDs and cassettes. Record companies also deleted many vinyl titles from production and distribution, further undermining the availability of the format and leading to the closure of pressing plants. This rapid decline in the availability of records accelerated the format's decline in popularity, and is seen by some as a deliberate ploy to make consumers switch to CDs, which were more profitable for the record companies.",When were groove recordings developed?,"final quarter of the 19th century,",4425
"This is a communication-based theory developed by Howard M. Weiss and Russell Cropanzano (1996), that looks at the causes, structures, and consequences of emotional experience (especially in work contexts). This theory suggests that emotions are influenced and caused by events which in turn influence attitudes and behaviors. This theoretical frame also emphasizes time in that human beings experience what they call emotion episodes— a ""series of emotional states extended over time and organized around an underlying theme."" This theory has been utilized by numerous researchers to better understand emotion from a communicative lens, and was reviewed further by Howard M. Weiss and Daniel J. Beal in their article, ""Reflections on Affective Events Theory"", published in Research on Emotion in Organizations in 2005.","Where was ""Reflections on Affective Events Theory"" published?",Research on Emotion in Organizations,4496
"Established acts benefited from the new commercial climate, with Whitesnake's self-titled album (1987) selling over 17 million copies, outperforming anything in Coverdale's or Deep Purple's catalogue before or since. It featured the rock anthem ""Here I Go Again '87"" as one of 4 UK top 20 singles. The follow-up Slip of the Tongue (1989) went platinum, but according to critics Steve Erlwine and Greg Prato, ""it was a considerable disappointment after the across-the-board success of Whitesnake"". Aerosmith's comeback album Permanent Vacation (1987) would begin a decade long revival of their popularity. Crazy Nights (1987) by Kiss was the band's highest charting release in the US since 1979 and the highest of their career in the UK. Mötley Crüe with Girls, Girls, Girls (1987) continued their commercial success and Def Leppard with Hysteria (1987) hit their commercial peak, the latter producing seven hit singles (a record for a hard rock act). Guns N' Roses released the best-selling début of all time, Appetite for Destruction (1987). With a ""grittier"" and ""rawer"" sound than most glam metal, it produced three top 10 hits, including the number one ""Sweet Child O' Mine"". Some of the glam rock bands that formed in the mid-1980s, such as White Lion and Cinderella experienced their biggest success during this period with their respective albums Pride (1987) and Long Cold Winter (1988) both going multi-platinum and launching a series of hit singles. In the last years of the decade, the most notable successes were New Jersey (1988) by Bon Jovi, OU812 (1988) by Van Halen, Open Up and Say... Ahh! (1988) by Poison, Pump (1989) by Aerosmith, and Mötley Crüe's most commercially successful album Dr. Feelgood (1989). New Jersey spawned five Top 10 singles, a record for a hard rock act. In 1988 from 25 June to 5 November, the number one spot on the Billboard 200 album chart was held by a hard rock album for 18 out of 20 consecutive weeks; the albums were OU812, Hysteria, Appetite for Destruction, and New Jersey. A final wave of glam rock bands arrived in the late 1980s, and experienced success with multi-platinum albums and hit singles from 1989 until the early 1990s, among them Extreme, Warrant Slaughter and FireHouse. Skid Row also released their eponymous début (1989), reaching number six on the Billboard 200, but they were to be one of the last major bands that emerged in the glam rock era.",Def Leppard's album Hysteria churned out how many hit singles?,seven,4522
"In The Sensory Order: An Inquiry into the Foundations of Theoretical Psychology (1952), Hayek independently developed a ""Hebbian learning"" model of learning and memory – an idea which he first conceived in 1920, prior to his study of economics. Hayek's expansion of the ""Hebbian synapse"" construction into a global brain theory has received continued attention in neuroscience, cognitive science, computer science, behavioural science, and evolutionary psychology, by scientists such as Gerald Edelman, and Joaquin Fuster.","Before he began studying economics, what concept did Hayek come up with that was later featured in his 1952 book?",Hebbian learning,4529
"The governors of the taifas each proclaimed themselves Emir of their provinces and established diplomatic relations with the Christian kingdoms of the north. Most of Portugal fell into the hands of the Taifa of Badajoz of the Aftasid Dynasty, and after a short spell of an ephemeral Taifa of Lisbon in 1022, fell under the dominion of the Taifa of Seville of the Abbadids poets. The Taifa period ended with the conquest of the Almoravids who came from Morocco in 1086 winning a decisive victory at the Battle of Sagrajas, followed a century later in 1147, after the second period of Taifa, by the Almohads, also from Marrakesh.",In which year did the taifa period end?,1086,4532
"The second Diadochi war began following the death of Antipater in 319 BC. Passing over his own son, Cassander, Antipater had declared Polyperchon his successor as Regent. Cassander rose in revolt against Polyperchon (who was joined by Eumenes) and was supported by Antigonus, Lysimachus and Ptolemy. In 317, Cassander invaded Macedonia, attaining control of Macedon, sentencing Olympias to death and capturing the boy king Alexander IV, and his mother. In Asia, Eumenes was betrayed by his own men after years of campaign and was given up to Antigonus who had him executed.",When did Antipater die?,319 BC,4556
"Victoria's youngest son, Leopold, was affected by the blood-clotting disease haemophilia B and two of her five daughters, Alice and Beatrice, were carriers. Royal haemophiliacs descended from Victoria included her great-grandsons, Tsarevich Alexei of Russia, Alfonso, Prince of Asturias, and Infante Gonzalo of Spain. The presence of the disease in Victoria's descendants, but not in her ancestors, led to modern speculation that her true father was not the Duke of Kent but a haemophiliac. There is no documentary evidence of a haemophiliac in connection with Victoria's mother, and as male carriers always suffer the disease, even if such a man had existed he would have been seriously ill. It is more likely that the mutation arose spontaneously because Victoria's father was over 50 at the time of her conception and haemophilia arises more frequently in the children of older fathers. Spontaneous mutations account for about a third of cases.",What disease did Victoria's youngest son have? ,the blood-clotting disease haemophilia B,4560
"One of the most important victories of the magnates was the late 16th century right to create ordynacja's (similar to majorats), which ensured that a family which gained wealth and power could more easily preserve this. Ordynacje's of families of Radziwiłł, Zamoyski, Potocki or Lubomirski often rivalled the estates of the king and were important power bases for the magnates.",The right to create ordynacja's was important to what group?,magnates,4563
"The simplest type of MP3 file uses one bit rate for the entire file: this is known as Constant Bit Rate (CBR) encoding. Using a constant bit rate makes encoding simpler and faster. However, it is also possible to create files where the bit rate changes throughout the file. These are known as Variable Bit Rate (VBR) files. The idea behind this is that, in any piece of audio, some parts will be much easier to compress, such as silence or music containing only a few instruments, while others will be more difficult to compress. So, the overall quality of the file may be increased by using a lower bit rate for the less complex passages and a higher one for the more complex parts. With some encoders, it is possible to specify a given quality, and the encoder will vary the bit rate accordingly. Users who know a particular ""quality setting"" that is transparent to their ears can use this value when encoding all of their music, and generally speaking not need to worry about performing personal listening tests on each piece of music to determine the correct bit rate.",What does CBR stand for?,Constant Bit Rate,4585
"Criminal justice agencies in England and Wales use at least two separate racial/ethnic classification systems when reporting crime, as of 2010. One is the system used in the 2001 Census when individuals identify themselves as belonging to a particular ethnic group: W1 (White-British), W2 (White-Irish), W9 (Any other white background); M1 (White and black Caribbean), M2 (White and black African), M3 (White and Asian), M9 (Any other mixed background); A1 (Asian-Indian), A2 (Asian-Pakistani), A3 (Asian-Bangladeshi), A9 (Any other Asian background); B1 (Black Caribbean), B2 (Black African), B3 (Any other black background); O1 (Chinese), O9 (Any other). The other is categories used by the police when they visually identify someone as belonging to an ethnic group, e.g. at the time of a stop and search or an arrest: White – North European (IC1), White – South European (IC2), Black (IC3), Asian (IC4), Chinese, Japanese, or South East Asian (IC5), Middle Eastern (IC6), and Unknown (IC0). ""IC"" stands for ""Identification Code;"" these items are also referred to as Phoenix classifications. Officers are instructed to ""record the response that has been given"" even if the person gives an answer which may be incorrect; their own perception of the person's ethnic background is recorded separately. Comparability of the information being recorded by officers was brought into question by the Office for National Statistics (ONS) in September 2007, as part of its Equality Data Review; one problem cited was the number of reports that contained an ethnicity of ""Not Stated.""",When did individuals self-identify as belonging to a particular ethnic group?,the 2001 Census,4586
"Although Wynn's plans for development in the city were scrapped in 2002, the tunnel opened in 2001. The new roadway prompted Boyd Gaming in partnership with MGM/Mirage to build Atlantic City's newest casino. The Borgata opened in July 2003, and its success brought an influx of developers to Atlantic City with plans for building grand Las Vegas style mega casinos to revitalize the aging city.",In what year was Wynn's plans for development scrapped?,2002,4587
"Although the city lost the status of state capital to Columbia in 1786, Charleston became even more prosperous in the plantation-dominated economy of the post-Revolutionary years. The invention of the cotton gin in 1793 revolutionized the processing of this crop, making short-staple cotton profitable. It was more easily grown in the upland areas, and cotton quickly became South Carolina's major export commodity. The Piedmont region was developed into cotton plantations, to which the sea islands and Lowcountry were already devoted. Slaves were also the primary labor force within the city, working as domestics, artisans, market workers, and laborers.",Charleston was the state capital of South Carolina until what year?,1786,4599
"Somerset has 11,500 listed buildings, 523 scheduled monuments, 192 conservation areas, 41 parks and gardens including those at Barrington Court, Holnicote Estate, Prior Park Landscape Garden and Tintinhull Garden, 36 English Heritage sites and 19 National Trust sites, including Clevedon Court, Fyne Court, Montacute House and Tyntesfield as well as Stembridge Tower Mill, the last remaining thatched windmill in England. Other historic houses in the county which have remained in private ownership or used for other purposes include Halswell House and Marston Bigot. A key contribution of Somerset architecture is its medieval church towers. Jenkins writes, ""These structures, with their buttresses, bell-opening tracery and crowns, rank with Nottinghamshire alabaster as England's finest contribution to medieval art.""",What is a key type of Architecture in Somerset ,its medieval church towers,4602
"Comprehensive schools were introduced into Ireland in 1966 by an initiative by Patrick Hillery, Minister for Education, to give a broader range of education compared to that of the vocational school system, which was then the only system of schools completely controlled by the state. Until then, education in Ireland was largely dominated by religious persuasion, particularly the voluntary secondary school system was a particular realisation of this. The comprehensive school system is still relatively small and to an extent has been superseded by the community school concept. The Irish word for a comprehensive school is a 'scoil chuimsitheach.'",Who was responsible for creating comprehensive schools in Ireland?,Patrick Hillery,4608
"Athanasius also wrote a two-part Against the Heathen and The Incarnation of the Word of God. Completed probably early in his life, before the Arian controversy, they constitute the first classic work of developed Orthodox theology. In the first part, Athanasius attacks several pagan practices and beliefs. The second part presents teachings on the redemption. Also in these books, Athanasius put forward the belief that the Son of God, the eternal Word through whom God created the world, entered that world in human form to lead men back into the harmony from which they had earlier fallen away.",Which of his works addresses redemption and the Son of God?,Incarnation of the Word of God,4650
"A number of decoy towns were constructed in Somerset in World War II to protect Bristol and other towns, at night. They were designed to mimic the geometry of ""blacked out"" streets, railway lines, and Bristol Temple Meads railway station, to encourage bombers away from these targets. One, on the radio beam flight path to Bristol, was constructed on Beacon Batch. It was laid out by Shepperton Studios, based on aerial photographs of the city's railway marshalling yards. The decoys were fitted with dim red lights, simulating activities like the stoking of steam locomotives. Burning bales of straw soaked in creosote were used to simulate the effects of incendiary bombs dropped by the first wave of Pathfinder night bombers; meanwhile, incendiary bombs dropped on the correct location were quickly smothered, wherever possible. Drums of oil were also ignited to simulate the effect of a blazing city or town, with the aim of fooling subsequent waves of bombers into dropping their bombs on the wrong location. The Chew Magna decoy town was hit by half-a-dozen bombs on 2 December 1940, and over a thousand incendiaries on 3 January 1941. The following night the Uphill decoy town, protecting Weston-super-Mare's airfield, was bombed; a herd of dairy cows was hit, killing some and severely injuring others.",Who layed out  Beacon Batch ,"Shepperton Studios, based on aerial photographs of the city's railway marshalling yards. The decoys were fitted with dim red lights",4654
"After losing an extra-inning game in Game 1, the Cubs rallied and took a 3 games to 1 lead over the Wild Card Florida Marlins in the NLCS. Florida shut the Cubs out in Game 5, but young pitcher Mark Prior led the Cubs in Game 6 as they took a 3–0 lead into the 8th inning and it was at this point when a now-infamous incident took place. Several spectators attempted to catch a foul ball off the bat of Luis Castillo. A Chicago Cubs fan by the name of Steve Bartman, of Northbrook, Illinois, reached for the ball and deflected it away from the glove of Moisés Alou for the second out of the 8th inning. Alou reacted angrily toward the stands, and after the game stated that he would have caught the ball. Alou at one point recanted, saying he would not have been able to make the play, but later said this was just an attempt to make Bartman feel better and believing the whole incident should be forgotten. Interference was not called on the play, as the ball was ruled to be on the spectator side of the wall. Castillo was eventually walked by Prior. Two batters later, and to the chagrin of the packed stadium, Cubs shortstop Alex Gonzalez misplayed an inning ending double play, loading the bases and leading to eight Florida runs and a Marlin victory. Despite sending Kerry Wood to the mound and holding a lead twice, the Cubs ultimately dropped Game 7, and failed to reach the World Series.",In what game did Florida shut the Cubs out?,Game 5,4684
"All Iranian languages are descended from a common ancestor, Proto-Iranian. In turn, and together with Proto-Indo-Aryan and the Nuristani languages, Proto-Iranian descends from a common ancestor Proto-Indo-Iranian. The Indo-Iranian languages are thought to have originated in Central Asia. The Andronovo culture is the suggested candidate for the common Indo-Iranian culture ca. 2000 BC.",What part of the world is it theorized that Indo-Iranian languages came from?,Central Asia,4712
"Some historians and researchers argue that the emotional and affectionate activities associated with sexual-orientation terms such as ""gay"" and ""heterosexual"" change significantly over time and across cultural boundaries. For example, in many English-speaking nations, it is assumed that same-sex kissing, particularly between men, is a sign of homosexuality, whereas various types of same-sex kissing are common expressions of friendship in other nations. Also, many modern and historic cultures have formal ceremonies expressing long-term commitment between same-sex friends, even though homosexuality itself is taboo within the cultures.",What can be assumed in english speaking nations when two men kiss?,is a sign of homosexuality,4713
"Peace negotiations at the Congress of Paris resulted in the signing of the Treaty of Paris on 30 March 1856. In compliance with article III, Russia restored to the Ottoman Empire the city and citadel of Kars in common with ""all other parts of the Ottoman territory of which the Russian troop were in possession"". Russia ceded some land in Bessarabia at the mouth of the Danube to Moldavia. By article IV The United Kingdom, France, Sardinia and Turkey restored to Russia ""the towns and ports of Sevastopol, Balaklava, Kamish, Eupatoria, Kerch, Jenikale, Kinburn, as well as all other territories occupied by the allied troops"". In conformity with article XI and XIII, the Tsar and the Sultan agreed not to establish any naval or military arsenal on the Black Sea coast. The Black Sea clauses weakened Russia, and it no longer posed a naval threat to the Ottomans. The principalities of Moldavia and Wallachia were nominally returned to the Ottoman Empire; in practice they became independent. The Great Powers pledged to respect the independence and territorial integrity of the Ottoman Empire.:432–33",Where was the Treaty of Paris signed?,the Congress of Paris,4714
"On 18 June 1953, the monarchy was abolished and the Republic of Egypt declared, with Naguib as its first president. According to Aburish, after assuming power, Nasser and the Free Officers expected to become the ""guardians of the people's interests"" against the monarchy and the pasha class while leaving the day-to-day tasks of government to civilians. They asked former prime minister Ali Maher to accept reappointment to his previous position, and to form an all-civilian cabinet. The Free Officers then governed as the Revolutionary Command Council (RCC) with Naguib as chairman and Nasser as vice-chairman. Relations between the RCC and Maher grew tense, however, as the latter viewed many of Nasser's schemes—agrarian reform, abolition of the monarchy, reorganization of political parties—as too radical, culminating in Maher's resignation on 7 September. Naguib assumed the additional role of prime minister, and Nasser that of deputy prime minister. In September, the Agrarian Reform Law was put into effect. In Nasser's eyes, this law gave the RCC its own identity and transformed the coup into a revolution.",Who did Nasser recruit to be Prime Minister?,Ali Maher,4715
"In theory at least, all Polish noblemen were social equals. Also in theory, they were legal peers. Those who held 'real power' dignities were more privileged but these dignities were not hereditary. Those who held honorary dignities were higher in 'ritual' hierarchy but these dignities were also granted for a lifetime. Some tenancies became hereditary and went with both privilege and titles. Nobles who were not direct barons of the Crown but held land from other lords were only peers ""de iure"".",In theory how were all polish noblemen viewed?,equals,4724
"Like much of the southeastern United States, Raleigh has a humid subtropical climate (Köppen Cfa), with four distinct seasons. Winters are short and generally cool, with a January daily average of 41.0 °F (5.0 °C). On average, there are 69 nights per year that drop to or below freezing, and only 2.7 days that fail to rise above freezing. April is the driest month, with an average of 2.91 inches (73.9 mm) of precipitation. Precipitation is well distributed around the year, with a slight maximum between July and September; on average, July is the wettest month, owing to generally frequent, sometimes heavy, showers and thunderstorms. Summers are hot and humid, with a daily average in July of 80.0 °F (26.7 °C). There are 48 days per year with highs at or above 90 °F (32 °C). Autumn is similar to spring overall but has fewer days of rainfall. Extremes in temperature have ranged from −9 °F (−23 °C) on January 21, 1985 up to 105 °F (41 °C), most recently on July 8, 2012.",How many nights in a year are there in Raleigh that are freezing?,69 nights per year,4725
"Whitehead and Russell had thought originally that Principia Mathematica would take a year to complete; it ended up taking them ten years. To add insult to injury, when it came time for publication, the three-volume work was so massive (more than 2,000 pages) and its audience so narrow (professional mathematicians) that it was initially published at a loss of 600 pounds, 300 of which was paid by Cambridge University Press, 200 by the Royal Society of London, and 50 apiece by Whitehead and Russell themselves. Despite the initial loss, today there is likely no major academic library in the world which does not hold a copy of Principia Mathematica.",How prevalent is Principia Mathematica today?,today there is likely no major academic library in the world which does not hold a copy of Principia Mathematica,4726
"From 2002 through 2008, the Bush Administration denied funding to UNFPA that had already been allocated by the US Congress, partly on the refuted claims that the UNFPA supported Chinese government programs which include forced abortions and coercive sterilizations. In a letter from the Undersecretary of State for Political Affairs Nicholas Burns to Congress, the administration said it had determined that UNFPA’s support for China’s population program “facilitates (its) government’s coercive abortion program”, thus violating the Kemp-Kasten Amendment, which bans the use of United States aid to finance organizations that support or take part in managing a program of coercive abortion of sterilization.",What in the Chinese program caused trouble for UNFPA?,forced abortions and coercive sterilizations,4727
"Eclectic readings also normally give an impression of the number of witnesses to each available reading. Although a reading supported by the majority of witnesses is frequently preferred, this does not follow automatically. For example, a second edition of a Shakespeare play may include an addition alluding to an event known to have happened between the two editions. Although nearly all subsequent manuscripts may have included the addition, textual critics may reconstruct the original without the addition.",What is often included in an eclectic reading?,an impression of the number of witnesses,4768
"Those involved in producing professional wrestling have developed a kind of global fraternity, with familial bonds, shared language and passed-down traditions. New performers are expected to ""pay their dues"" for a few years by working in lower-profile promotions and working as ring crew before working their way upward. The permanent rosters of most promotions develop a backstage pecking order, with veterans mediating conflicts and mentoring younger wrestlers. For many decades (and still to a lesser extent today), performers were expected to keep the illusions of wrestling's legitimacy alive even while not performing, essentially acting in character any time they were in public. Some veterans speak of a ""sickness"" among wrestling performers, an inexplicable pull to remain active in the wrestling world despite the devastating effects the job can have on one's life and health.",What were wrestlers expected to do for decades? ,keep the illusions of wrestling's legitimacy alive,4769
"The oldest known archaeological fragments of the immediate precursor to modern paper, date to the 2nd century BC in China. The pulp papermaking process is ascribed to Cai Lun, a 2nd-century AD Han court eunuch. With paper as an effective substitute for silk in many applications, China could export silk in greater quantity, contributing to a Golden Age.",Who is credited with the papermaking process?,Cai Lun,4781
"Evolutionary anthropology is the interdisciplinary study of the evolution of human physiology and human behaviour and the relation between hominins and non-hominin primates. Evolutionary anthropology is based in natural science and social science, combining the human development with socioeconomic factors. Evolutionary anthropology is concerned with both biological and cultural evolution of humans, past and present. It is based on a scientific approach, and brings together fields such as archaeology, behavioral ecology, psychology, primatology, and genetics. It is a dynamic and interdisciplinary field, drawing on many lines of evidence to understand the human experience, past and present.",What is evolutionary anthropology  based in?,natural science and social science,4792
"In 1238, King James I of Aragon, with an army composed of Aragonese, Catalans, Navarrese and crusaders from the Order of Calatrava, laid siege to Valencia and on 28 September obtained a surrender. Fifty thousand Moors were forced to leave. Poets such as Ibn al-Abbar and Ibn Amira mourned this exile from their beloved Valencia. After the Christian victory and the expulsion of the Muslim population the city was divided between those who had participated in the conquest, according to the testimony in the Llibre del Repartiment (Book of Distribution). James I granted the city new charters of law, the Furs of Valencia, which later were extended to the whole kingdom of Valencia. Thenceforth the city entered a new historical stage in which a new society and a new language developed, forming the basis of the character of the Valencian people as they are known today.",Who was expelled from Valencia after James I's victory?,the Muslim population,4807
"When not dressed in Westernized clothing such as jeans and t-shirts, Somali men typically wear the macawis, which is a sarong-like garment worn around the waist. On their heads, they often wrap a colorful turban or wear the koofiyad, an embroidered fez.","Aside from the koofiyad, what do Somali men wear on their head?",turban,4813
"In April 2016, Northwestern announced that it signed on to the Chicago Star Partnership, a City Colleges initiative. Through this partnership, Northwestern is one of 15 Illinois public and private universities that will ""provide scholarships to students who graduate from Chicago Public Schools, get their associate degree from one of the city's community colleges, and then get admitted to a bachelor's degree program."" The partnership was influenced by Mayor Rahm Emanuel, who encouraged local universities to increase opportunities for students in the public school district. The University of Chicago, Northeastern Illinois University, the School of the Art Institute, DePaul University and Loyola University are also part of the Star Scholars partnership.","Through the Chicago Star Partnership, what is provided to students from Chicago public schools that meet further educational criteria?",scholarships,4824
"Following his triumph, Napoleon imposed the first elements of the Continental System through the Berlin Decree issued in November 1806. The Continental System, which prohibited European nations from trading with Britain, was widely violated throughout his reign. In the next few months, Napoleon marched against the advancing Russian armies through Poland and was involved in the bloody stalemate at the Battle of Eylau in February 1807. After a period of rest and consolidation on both sides, the war restarted in June with an initial struggle at Heilsberg that proved indecisive. On 14 June, however, Napoleon finally obtained an overwhelming victory over the Russians at the Battle of Friedland, wiping out the majority of the Russian army in a very bloody struggle. The scale of their defeat convinced the Russians to make peace with the French. On 19 June, Czar Alexander sent an envoy to seek an armistice with Napoleon. The latter assured the envoy that the Vistula River represented the natural borders between French and Russian influence in Europe. On that basis, the two emperors began peace negotiations at the town of Tilsit after meeting on an iconic raft on the River Niemen. The very first thing Alexander said to Napoleon was probably well-calibrated: ""I hate the English as much as you do.""",In what 1806 proclamation did Napoleon begin to impose the Continental System?,the Berlin Decree,4834
"French political scientist Maurice Duverger drew a distinction between cadre parties and mass parties. Cadre parties were political elites that were concerned with contesting elections and restricted the influence of outsiders, who were only required to assist in election campaigns. Mass parties tried to recruit new members who were a source of party income and were often expected to spread party ideology as well as assist in elections.Socialist parties are examples of mass parties, while the British Conservative Party and the German Christian Democratic Union are examples of hybrid parties. In the United States, where both major parties were cadre parties, the introduction of primaries and other reforms has transformed them so that power is held by activists who compete over influence and nomination of candidates.",What are cadre parties?,political elites that were concerned with contesting elections and restricted the influence of outsiders,4835
"The original early 19th-century interior designs, many of which survive, include widespread use of brightly coloured scagliola and blue and pink lapis, on the advice of Sir Charles Long. King Edward VII oversaw a partial redecoration in a Belle Époque cream and gold colour scheme. Many smaller reception rooms are furnished in the Chinese regency style with furniture and fittings brought from the Royal Pavilion at Brighton and from Carlton House. The palace has 775 rooms, and the garden is the largest private garden in London. The state rooms, used for official and state entertaining, are open to the public each year for most of August and September, and on selected days in winter and spring.",How many rooms does the palace have?,775 rooms,4874
"Although the Arenafootball2 league played its tenth season in 2009, a conference call in December 2008 resulted in enough votes from owners and cooperation from the AFLPA for the AFL to suspend the entire 2009 season in order to create ""a long-term plan to improve its economic model"". In doing so, the AFL became the second sports league to cancel an entire season, after the National Hockey League cancelled the 2004-05 season because of a lockout. The AFL also became the third sports league to lose its postseason (the first being Major League Baseball, which lost its postseason in 1994 because of a strike). Efforts to reformat the league's business model were placed under the leadership of Columbus Destroyers owner Jim Renacci and interim commissioner Policy.",What National Hockey League season was cancelled?,2004-05,4875
"Neptune has 14 known moons. Triton is the largest Neptunian moon, comprising more than 99.5% of the mass in orbit around Neptune,[e] and it is the only one massive enough to be spheroidal. Triton was discovered by William Lassell just 17 days after the discovery of Neptune itself. Unlike all other large planetary moons in the Solar System, Triton has a retrograde orbit, indicating that it was captured rather than forming in place; it was probably once a dwarf planet in the Kuiper belt. It is close enough to Neptune to be locked into a synchronous rotation, and it is slowly spiralling inward because of tidal acceleration. It will eventually be torn apart, in about 3.6 billion years, when it reaches the Roche limit. In 1989, Triton was the coldest object that had yet been measured in the Solar System, with estimated temperatures of 38 K (−235 °C).",Who discovered Triton? ,William Lassell,4886
